<meta message time_signature numerator=3 denominator=4 clocks_per_click=96 notated_32nd_notes_per_beat=8 time=0>
<meta message set_tempo tempo=1000000 time=0>
<meta message set_tempo tempo=428571 time=96>
<meta message set_tempo tempo=500000 time=14112>
<meta message set_tempo tempo=500000 time=2304>
<meta message set_tempo tempo=428571 time=14112>
<meta message set_tempo tempo=1000000 time=14112>
<meta message end_of_track time=0>
<meta message track_name name='Corno I' time=0>
control_change 0 0 0 0 
program_change 0 60 0 
<meta message time_signature numerator=3 denominator=4 clocks_per_click=96 notated_32nd_notes_per_beat=8 time=0>
<meta message set_tempo tempo=1000000 time=0>
<meta message set_tempo tempo=428571 time=96>
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 84 
note_on 0 60 127 204 
note_off 0 60 0 84 
note_on 0 60 127 12 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 84 
note_on 0 67 127 204 
note_off 0 67 0 84 
note_on 0 67 127 12 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 84 
note_on 0 67 127 204 
note_off 0 67 0 84 
note_on 0 67 127 12 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 84 
note_on 0 72 127 204 
note_off 0 72 0 84 
note_on 0 72 127 12 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 180 
note_on 0 70 127 12 
note_off 0 70 0 84 
note_on 0 69 127 12 
note_off 0 69 0 84 
note_on 0 70 127 12 
note_off 0 70 0 42 
note_on 0 69 127 6 
note_off 0 69 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 69 127 6 
note_off 0 69 0 42 
note_on 0 65 127 6 
note_off 0 65 0 276 
<meta message set_tempo tempo=500000 time=300>
<meta message set_tempo tempo=500000 time=2304>
<meta message set_tempo tempo=428571 time=14112>
note_on 0 53 127 0 
note_off 0 53 0 84 
note_on 0 53 127 12 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 84 
note_on 0 53 127 204 
note_off 0 53 0 84 
note_on 0 53 127 12 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 84 
note_on 0 60 127 204 
note_off 0 60 0 84 
note_on 0 60 127 12 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 84 
note_on 0 60 127 204 
note_off 0 60 0 84 
note_on 0 60 127 12 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 84 
note_on 0 67 127 204 
note_off 0 67 0 84 
note_on 0 67 127 12 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 84 
note_on 0 72 127 204 
note_off 0 72 0 42 
note_on 0 71 127 6 
note_off 0 71 0 42 
note_on 0 71 127 6 
note_off 0 71 0 132 
note_on 0 72 127 12 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 276 
note_on 0 53 127 12 
note_off 0 53 0 84 
note_on 0 53 127 12 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 84 
note_on 0 53 127 204 
note_off 0 53 0 84 
note_on 0 53 127 12 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 42 
note_on 0 53 127 6 
note_off 0 53 0 84 
note_on 0 60 127 204 
note_off 0 60 0 84 
note_on 0 60 127 12 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 84 
note_on 0 60 127 204 
note_off 0 60 0 84 
note_on 0 60 127 12 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 84 
note_on 0 67 127 204 
note_off 0 67 0 84 
note_on 0 67 127 12 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 84 
note_on 0 72 127 204 
note_off 0 72 0 42 
note_on 0 71 127 6 
note_off 0 71 0 42 
note_on 0 71 127 6 
note_off 0 71 0 132 
note_on 0 72 127 12 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 276 
note_on 0 60 127 12 
note_off 0 60 0 84 
note_on 0 60 127 12 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 84 
note_on 0 60 127 204 
note_off 0 60 0 84 
note_on 0 60 127 12 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 84 
note_on 0 67 127 204 
note_off 0 67 0 84 
note_on 0 67 127 12 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 84 
note_on 0 67 127 204 
note_off 0 67 0 84 
note_on 0 67 127 12 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 84 
note_on 0 72 127 204 
note_off 0 72 0 84 
note_on 0 72 127 12 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 180 
note_on 0 70 127 12 
note_off 0 70 0 84 
note_on 0 69 127 12 
note_off 0 69 0 84 
note_on 0 70 127 12 
note_off 0 70 0 42 
note_on 0 69 127 6 
note_off 0 69 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 69 127 6 
note_off 0 69 0 42 
note_on 0 65 127 6 
note_off 0 65 0 276 
note_on 0 60 127 12 
note_off 0 60 0 84 
note_on 0 60 127 12 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 84 
note_on 0 60 127 204 
note_off 0 60 0 84 
note_on 0 60 127 12 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 42 
note_on 0 60 127 6 
note_off 0 60 0 84 
note_on 0 67 127 204 
note_off 0 67 0 84 
note_on 0 67 127 12 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 84 
note_on 0 67 127 204 
note_off 0 67 0 84 
note_on 0 67 127 12 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 67 127 6 
note_off 0 67 0 84 
note_on 0 72 127 204 
note_off 0 72 0 84 
note_on 0 72 127 12 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 42 
note_on 0 72 127 6 
note_off 0 72 0 180 
note_on 0 70 127 12 
note_off 0 70 0 84 
note_on 0 69 127 12 
note_off 0 69 0 84 
note_on 0 70 127 12 
note_off 0 70 0 42 
note_on 0 69 127 6 
note_off 0 69 0 42 
note_on 0 67 127 6 
note_off 0 67 0 42 
note_on 0 69 127 6 
note_off 0 69 0 42 
note_on 0 65 127 6 
note_off 0 65 0 276 
<meta message set_tempo tempo=1000000 time=300>
<meta message end_of_track time=0>
<meta message track_name name='Corno II' time=0>
control_change 1 0 0 0 
program_change 1 60 0 
<meta message time_signature numerator=3 denominator=4 clocks_per_click=96 notated_32nd_notes_per_beat=8 time=0>
<meta message set_tempo tempo=1000000 time=0>
<meta message set_tempo tempo=428571 time=96>
note_on 1 53 127 288 
note_off 1 53 0 84 
note_on 1 53 127 12 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 84 
note_on 1 53 127 204 
note_off 1 53 0 84 
note_on 1 53 127 12 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 60 127 6 
note_off 1 60 0 84 
note_on 1 60 127 204 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 84 
note_on 1 60 127 204 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 67 127 6 
note_off 1 67 0 84 
note_on 1 67 127 204 
note_off 1 67 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 69 127 6 
note_off 1 69 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 276 
note_on 1 53 127 300 
note_off 1 53 0 84 
note_on 1 53 127 12 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 84 
note_on 1 53 127 204 
note_off 1 53 0 84 
note_on 1 53 127 12 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 60 127 6 
note_off 1 60 0 84 
note_on 1 60 127 204 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 84 
note_on 1 60 127 204 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 67 127 6 
note_off 1 67 0 84 
note_on 1 67 127 204 
note_off 1 67 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 69 127 6 
note_off 1 69 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 276 
note_on 1 60 127 300 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 84 
note_on 1 60 127 204 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 67 127 6 
note_off 1 67 0 84 
note_on 1 67 127 204 
note_off 1 67 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 84 
note_on 1 67 127 204 
note_off 1 67 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 84 
note_on 1 67 127 204 
note_off 1 67 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 65 127 6 
note_off 1 65 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 57 127 6 
note_off 1 57 0 276 
note_on 1 60 127 300 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 84 
note_on 1 60 127 204 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 67 127 6 
note_off 1 67 0 84 
note_on 1 67 127 204 
note_off 1 67 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 84 
note_on 1 67 127 204 
note_off 1 67 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 84 
note_on 1 67 127 204 
note_off 1 67 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 65 127 6 
note_off 1 65 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 57 127 6 
note_off 1 57 0 276 
<meta message set_tempo tempo=500000 time=300>
<meta message set_tempo tempo=500000 time=2304>
<meta message set_tempo tempo=428571 time=14112>
note_on 1 53 127 288 
note_off 1 53 0 84 
note_on 1 53 127 12 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 84 
note_on 1 53 127 204 
note_off 1 53 0 84 
note_on 1 53 127 12 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 60 127 6 
note_off 1 60 0 84 
note_on 1 60 127 204 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 84 
note_on 1 60 127 204 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 67 127 6 
note_off 1 67 0 84 
note_on 1 67 127 204 
note_off 1 67 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 69 127 6 
note_off 1 69 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 276 
note_on 1 53 127 300 
note_off 1 53 0 84 
note_on 1 53 127 12 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 84 
note_on 1 53 127 204 
note_off 1 53 0 84 
note_on 1 53 127 12 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 53 127 6 
note_off 1 53 0 42 
note_on 1 60 127 6 
note_off 1 60 0 84 
note_on 1 60 127 204 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 84 
note_on 1 60 127 204 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 60 127 6 
note_off 1 60 0 42 
note_on 1 67 127 6 
note_off 1 67 0 84 
note_on 1 67 127 204 
note_off 1 67 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 69 127 6 
note_off 1 69 0 84 
note_on 1 67 127 12 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 42 
note_on 1 67 127 6 
note_off 1 67 0 276 
note_on 1 60 127 300 
note_off 1 60 0 84 
note_on 1 60 127 12 
note_off 1 60 0 42 
note_on 1 60 127 6 
